,date,province,confirmed,released,deceased,population,infection_rate,recovery_rate,dead_rate,total_medical,sizeofarea
2408,2020-06-09,Chungcheongnam-do,150,143,0,2119771.0,0.007076236065122129,95.33333333333334,0.0,576.965432770822,257.5976424838984
2409,2020-06-09,Jeollabuk-do,21,19,0,1808802.0,0.0011609894283619766,90.47619047619048,0.0,476.878987608753,224.16681125294338
2410,2020-06-09,Jeollanam-do,20,17,0,1854618.0,0.0010783891885013518,85.0,0.0,544.6748898678414,150.2444912508101
2411,2020-06-09,Gyeongsangbuk-do,1383,1310,54,2646493.0,0.05225783706966162,94.72161966738973,3.9045553145336225,589.0258179390163,139.0476015341775
2412,2020-06-09,Gyeongsangnam-do,125,123,0,3349454.0,0.0037319515359816855,98.4,0.0,617.9804428044281,317.78500948766606
2413,2020-06-09,Jeju-do,15,13,0,671316.0,0.0022344171746241713,86.66666666666667,0.0,535.3397129186603,362.8735135135135
2414,2020-06-10,Seoul,1027,665,4,9720846.0,0.010564924081710583,64.75170399221032,0.3894839337877313,422.18657980456027,16067.514049586776
2415,2020-06-10,Busan,147,141,3,3404423.0,0.004317912315831493,95.91836734693877,2.0408163265306123,498.67042624871834,4421.328571428571
2416,2020-06-10,Daegu,6888,6648,188,2427954.0,0.28369565486001797,96.51567944250871,2.72938443670151,473.46996879875195,2746.554298642534
2417,2020-06-10,Incheon,294,127,0,2947217.0,0.009975512491954273,43.197278911564624,0.0,649.7391975308642,2772.546566321731
2418,2020-06-10,Gwangju,32,30,0,1455048.0,0.002199240162523848,93.75,0.0,504.6992715920916,2904.2874251497005
2419,2020-06-10,Daejeon,46,43,1,1471040.0,0.0031270393735044594,93.47826086956522,2.1739130434782608,485.0115397296406,2724.1481481481483
2420,2020-06-10,Ulsan,53,47,1,1142190.0,0.004640208721841375,88.67924528301887,1.8867924528301887,628.6130985140342,1075.5084745762713
2421,2020-06-10,Sejong,47,47,0,345341.0,0.013609736463379674,100.0,0.0,659.0477099236641,742.668817204301
2422,2020-06-10,Gyeonggi-do,976,682,22,13338020.0,0.007317427924084683,69.87704918032787,2.2540983606557377,638.9470658682635,1309.1892422457793
2423,2020-06-10,Gangwon-do,59,51,3,1539282.0,0.003832955884626729,86.4406779661017,5.084745762711865,602.6945967110415,91.47147611124316
2424,2020-06-10,Chungcheongbuk-do,61,49,0,1597593.0,0.003818244070924197,80.32786885245902,0.0,572.2037965616046,215.65780237580992
2425,2020-06-10,Chungcheongnam-do,150,143,0,2119771.0,0.007076236065122129,95.33333333333334,0.0,576.965432770822,257.5976424838984
2426,2020-06-10,Jeollabuk-do,21,19,0,1808802.0,0.0011609894283619766,90.47619047619048,0.0,476.878987608753,224.16681125294338
